x,y,cluster
664159,550946,6
665845,557965,6
597173,575538,6
618600,551446,6
635690,608046,6
588100,557588,6
582015,546191,6
604678,574577,6
572029,518313,6
604737,574591,6
577728,587566,6
602013,574722,6
627968,574625,6
607269,536961,6
603145,574795,6
671919,571761,6
612184,570393,6
600032,575310,6
627912,593892,6
601967,604428,6
591851,569051,6
601444,572693,6
629718,558104,6
661430,603567,6
597551,556737,6
601182,582584,6
562704,570596,6
605107,563429,6
607214,575069,6
568824,570203,6
612485,518009,6
589244,573777,6
625579,551084,6
560237,500154,6
626224,569687,6
610666,551701,6
597428,569940,6
600582,599535,6
604168,555003,6
613871,550423,6
617310,551945,6
625728,579460,6
606300,566708,6
638559,558807,6
582176,630383,6
544056,577786,6
631297,578351,6
561574,621747,6
604973,574773,6
605284,556134,6
617910,592293,6
555904,640401,6
526559,509417,6
603849,572396,6
598634,619900,6
603359,589262,6
657455,567754,6
614279,599251,6
578496,631434,6
645171,595209,6
688015,533535,6
656477,573007,6
540029,563888,6
597418,538362,6
613545,574733,6
628696,542447,6
604157,574191,6
603126,497987,6
605850,533310,6
596179,529556,6
610330,552628,6
598184,531473,6
620438,511694,6
600202,622079,6
603021,577991,6
515612,540643,6
606548,574376,6
593490,623110,6
607084,595500,6
583728,563146,6
616044,533807,6
624452,584622,6
604438,574666,6
625709,660145,6
601376,579831,6
565148,557305,6
639418,537903,6
612799,537497,6
583653,652182,6
599808,596484,6
605250,573272,6
606738,601356,6
611044,571814,6
575440,568511,6
616329,529516,6
605927,572533,6
609286,586782,6
647354,579190,6
606929,571420,6
562920,559223,6
680357,620811,6
707100,601463,6
604294,574368,6
614917,600946,6
611508,503220,6
603789,574474,6
551740,588768,6
546031,570429,6
569197,559307,6
688712,568754,6
604067,574091,6
606809,572101,6
588597,622592,6
613840,534167,6
576263,547239,6
597077,568196,6
601339,571609,6
606011,569426,6
593398,559764,6
593166,622725,6
609796,532982,6
712648,607541,6
585048,505097,6
525967,565687,6
660327,585901,6
607604,573951,6
604001,573587,6
591484,571087,6
613868,585089,6
645464,660478,6
538571,654649,6
555429,604551,6
597620,586226,6
586097,567445,6
545235,539822,6
649088,575733,6
599123,616977,6
563763,559454,6
617717,613939,6
618869,577243,6
567188,560044,6
636628,533309,6
560362,567914,6
595014,632844,6
605876,550640,6
604352,573425,6
600679,599545,6
596891,579476,6
614943,540976,6
604415,571400,6
603698,573585,6
658199,568743,6
598759,582942,6
671269,590258,6
593317,534085,6
657985,453405,11
608557,590278,6
623004,508050,6
601900,569391,6
641031,593074,6
589658,640498,6
567565,573952,6
559078,570088,6
639431,588155,6
566609,537592,6
568570,579335,6
660650,615038,6
667639,571164,6
596796,529933,6
606111,617846,6
616060,590779,6
602873,527864,6
571334,594145,6
602167,543919,6
605100,573307,6
546640,560043,6
585195,555011,6
651740,589474,6
589112,536573,6
582057,543124,6
690968,555952,6
609030,552436,6
632125,541413,6
603445,630598,6
628264,616214,6
577242,574073,6
604090,574392,6
607911,576556,6
600665,638890,6
600117,539079,6
631182,565466,6
695646,652231,6
